locusts,left-grass,right-grass
49,2142,2187
49,2111,2187
49,2079,2187
49,2047,2187
49,2018,2187
47,1984,2187
47,1956,2187
47,1935,2187
45,1911,2187
45,1900,2187
45,1884,2187
45,1869,2187
43,1859,2187
43,1852,2187
43,1841,2187
43,1839,2187
42,1835,2187
40,1829,2187
39,1823,2187
39,1819,2187
39,1816,2187
42,1815,2187
45,1810,2187
47,1801,2187
51,1801,2187
51,1795,2187
54,1790,2187
57,1781,2187
58,1769,2187
61,1758,2187
64,1754,2187
63,1748,2187
68,1738,2187
72,1730,2187
75,1727,2187
77,1713,2187
78,1691,2187
81,1671,2187
83,1660,2187
86,1641,2187
89,1627,2187
94,1604,2187
94,1596,2187
93,1586,2187
91,1567,2187
88,1559,2187
85,1563,2187
81,1554,2187
82,1551,2187
77,1556,2187
76,1553,2187
77,1549,2187
75,1570,2187
74,1570,2187
74,1573,2187
72,1565,2187
73,1559,2187
74,1553,2187
73,1557,2187
70,1562,2187
67,1562,2187
65,1559,2187
65,1554,2187
68,1546,2187
70,1556,2187
70,1552,2187
72,1558,2187
69,1561,2187
71,1568,2187
71,1564,2187
73,1558,2187
75,1553,2187
74,1554,2187
72,1546,2187
73,1547,2187
70,1545,2187
71,1538,2187
75,1540,2187
80,1549,2187
79,1539,2187
81,1543,2187
81,1532,2187
82,1527,2187
84,1525,2187
83,1515,2187
84,1511,2187
82,1500,2187
81,1493,2187
87,1486,2187
88,1486,2187
90,1479,2187
91,1476,2187
92,1481,2187
92,1473,2187
93,1465,2187
94,1464,2187
95,1447,2187
97,1449,2187
94,1457,2187
88,1458,2187
92,1457,2187
92,1456,2187
94,1454,2187
94,1455,2187
90,1451,2187
90,1439,2187
87,1436,2187
85,1438,2187
83,1438,2187
85,1433,2187
89,1434,2187
90,1419,2187
90,1418,2187
91,1424,2187
90,1435,2187
93,1429,2187
91,1429,2187
93,1426,2187
92,1423,2187
90,1426,2187
89,1425,2187
91,1427,2187
92,1431,2187
95,1425,2187
97,1415,2187
94,1411,2187
95,1407,2187
93,1400,2187
94,1388,2187
90,1372,2187
88,1382,2187
86,1393,2187
85,1404,2187
87,1392,2187
86,1400,2187
86,1414,2187
88,1419,2187
88,1419,2187
83,1425,2187
83,1438,2187
87,1455,2187
88,1460,2187
91,1461,2187
93,1458,2187
92,1448,2187
92,1444,2187
92,1446,2187
90,1440,2187
91,1452,2187
92,1449,2187
93,1441,2187
96,1432,2187
97,1433,2187
96,1432,2187
97,1427,2187
99,1413,2187
98,1412,2187
94,1412,2187
97,1411,2187
95,1398,2187
94,1390,2187
93,1381,2187
88,1382,2187
84,1389,2187
86,1406,2187
87,1423,2187
87,1425,2187
92,1412,2187
91,1417,2187
88,1409,2187
86,1411,2187
88,1412,2187
82,1431,2187
84,1442,2187
86,1448,2187
89,1446,2187
88,1440,2187
86,1435,2187
85,1426,2187
86,1429,2187
81,1439,2187
79,1447,2187
77,1456,2187
79,1453,2187
73,1466,2187
73,1476,2187
70,1469,2187
70,1484,2187
73,1493,2187
74,1495,2187
71,1488,2187
72,1497,2187
73,1496,2187
73,1498,2187
74,1500,2187
76,1499,2187
80,1495,2187
82,1496,2187
83,1508,2187
85,1511,2187
85,1498,2187
83,1499,2187
80,1484,2187
82,1469,2187
86,1464,2187
88,1453,2187
87,1444,2187
89,1436,2187
87,1428,2187
90,1436,2187
89,1426,2187
88,1426,2187
91,1429,2187
94,1417,2187
96,1408,2187
94,1410,2187
95,1402,2187
99,1388,2187
96,1378,2187
92,1392,2187
96,1382,2187
101,1373,2187
101,1382,2187
98,1372,2187
99,1370,2187
99,1357,2187
97,1368,2187
92,1376,2187
93,1372,2187
88,1385,2187
90,1397,2187
88,1400,2187
87,1409,2187
85,1420,2187
86,1420,2187
87,1443,2187
83,1452,2187
81,1483,2187
78,1508,2187
76,1513,2187
76,1509,2187
75,1517,2187
76,1512,2187
77,1507,2187
80,1510,2187
80,1519,2187
81,1513,2187
78,1516,2187
79,1509,2187
81,1522,2187
78,1516,2187
77,1532,2187
78,1533,2187
79,1543,2187
80,1544,2187
78,1540,2187
79,1544,2187
82,1539,2187
85,1530,2187
88,1520,2187
89,1512,2187
89,1496,2187
84,1482,2187
85,1473,2187
87,1466,2187
87,1463,2187
87,1464,2187
84,1466,2187
86,1455,2187
85,1455,2187
84,1464,2187
85,1474,2187
88,1468,2187
85,1467,2187
87,1479,2187
87,1491,2187
88,1491,2187
85,1495,2187
87,1498,2187
90,1490,2187
89,1488,2187
87,1492,2187
84,1503,2187
84,1491,2187
85,1480,2187
80,1479,2187
76,1471,2187
78,1475,2187
76,1488,2187
75,1495,2187
78,1507,2187
76,1515,2187
75,1521,2186
74,1515,2186
72,1515,2186
73,1505,2186
71,1504,2186
70,1504,2186
72,1499,2186
73,1504,2186
75,1504,2186
73,1518,2187
74,1509,2186
73,1512,2186
75,1516,2186
76,1509,2186
76,1521,2186
72,1521,2186
72,1524,2186
74,1524,2186
74,1528,2186
70,1545,2186
70,1556,2186
68,1552,2186
72,1549,2186
73,1546,2187
73,1539,2187
