locusts,left-grass,right-grass
50,2138,2187
50,2097,2187
49,2059,2187
49,2027,2187
49,1999,2187
49,1973,2187
48,1951,2187
47,1927,2187
47,1913,2187
46,1893,2187
46,1879,2187
45,1863,2187
45,1856,2187
45,1840,2187
43,1832,2187
43,1828,2187
42,1826,2187
42,1826,2187
40,1812,2187
40,1808,2187
38,1814,2187
39,1810,2187
40,1809,2187
38,1819,2187
39,1832,2187
39,1834,2187
40,1837,2187
41,1843,2187
40,1846,2187
41,1852,2187
41,1847,2187
42,1852,2187
44,1852,2187
47,1847,2187
49,1845,2187
49,1842,2187
49,1836,2187
50,1827,2187
54,1817,2187
61,1808,2187
66,1786,2187
69,1771,2187
73,1747,2187
73,1731,2187
70,1720,2187
73,1705,2187
77,1693,2187
81,1677,2187
85,1665,2187
92,1644,2187
90,1635,2187
91,1613,2187
92,1609,2187
93,1592,2187
95,1578,2187
94,1556,2187
90,1542,2187
90,1537,2187
86,1540,2187
87,1527,2187
88,1516,2187
88,1505,2187
89,1502,2187
90,1501,2187
91,1497,2187
89,1498,2187
87,1498,2187
87,1502,2187
83,1511,2187
81,1509,2187
83,1500,2187
85,1494,2187
84,1491,2187
83,1501,2187
82,1501,2187
79,1499,2187
76,1498,2187
76,1503,2187
81,1494,2187
84,1490,2187
88,1488,2187
86,1480,2187
85,1475,2187
88,1473,2187
87,1467,2187
85,1464,2187
84,1460,2187
86,1457,2187
88,1463,2187
89,1456,2187
94,1451,2187
98,1442,2187
97,1425,2187
96,1406,2187
97,1392,2187
101,1370,2187
105,1354,2187
108,1341,2187
110,1338,2187
110,1330,2187
104,1339,2187
102,1335,2187
98,1343,2187
97,1344,2187
98,1348,2187
96,1353,2187
94,1362,2187
94,1370,2187
95,1367,2187
94,1371,2187
93,1384,2187
96,1380,2187
94,1390,2187
91,1396,2187
91,1402,2187
88,1397,2187
85,1397,2187
84,1403,2187
84,1406,2187
82,1417,2187
78,1437,2187
78,1447,2187
81,1445,2187
81,1433,2187
85,1436,2187
85,1433,2187
85,1438,2187
82,1442,2187
83,1445,2187
85,1441,2187
87,1444,2187
88,1446,2187
86,1458,2187
88,1445,2187
91,1449,2187
95,1441,2187
94,1442,2187
91,1430,2187
93,1425,2187
94,1427,2187
96,1430,2187
100,1418,2187
98,1422,2187
91,1450,2187
87,1457,2187
88,1460,2187
88,1457,2187
88,1464,2187
85,1461,2187
87,1454,2187
90,1453,2187
91,1456,2187
91,1447,2187
90,1457,2187
88,1460,2187
84,1461,2187
82,1468,2187
85,1486,2187
81,1480,2187
79,1483,2187
77,1489,2187
77,1500,2187
75,1495,2187
77,1503,2187
77,1498,2187
79,1494,2187
82,1482,2187
82,1469,2187
85,1478,2187
89,1458,2187
90,1444,2187
90,1441,2187
93,1446,2187
90,1448,2187
87,1448,2187
85,1459,2187
81,1458,2187
80,1468,2187
82,1461,2187
79,1464,2187
78,1473,2187
80,1478,2187
84,1469,2187
80,1478,2187
80,1490,2187
76,1505,2187
78,1508,2187
76,1515,2187
73,1518,2187
66,1529,2187
68,1536,2187
66,1539,2187
65,1547,2187
64,1552,2187
67,1550,2187
69,1549,2187
73,1533,2187
73,1521,2187
74,1513,2187
76,1505,2187
78,1508,2187
81,1502,2187
84,1501,2187
89,1485,2187
89,1477,2187
89,1469,2187
87,1457,2187
90,1451,2187
90,1433,2187
92,1427,2187
93,1426,2187
96,1423,2187
92,1427,2187
89,1418,2187
87,1425,2187
89,1438,2187
92,1454,2187
90,1451,2187
90,1437,2187
91,1443,2187
88,1445,2187
87,1445,2187
86,1449,2187
84,1453,2187
85,1453,2187
89,1449,2187
87,1463,2187
84,1479,2187
85,1477,2187
85,1485,2187
79,1488,2187
80,1504,2187
80,1508,2187
78,1508,2187
79,1506,2187
78,1500,2187
77,1505,2187
72,1508,2187
69,1512,2187
70,1523,2187
70,1526,2187
74,1520,2187
78,1520,2187
74,1527,2187
76,1511,2187
78,1501,2187
76,1490,2187
77,1492,2187
79,1489,2187
82,1494,2187
81,1482,2187
80,1475,2187
82,1468,2187
83,1475,2187
85,1472,2187
83,1470,2187
82,1482,2187
83,1477,2187
83,1475,2187
85,1467,2187
90,1472,2187
87,1474,2187
86,1473,2187
89,1470,2187
92,1472,2187
92,1472,2187
93,1469,2187
