locusts,left-grass,right-grass
50,2137,2187
50,2099,2187
50,2067,2187
50,2033,2187
49,2003,2187
49,1981,2187
49,1955,2187
49,1940,2187
48,1913,2187
48,1900,2187
48,1897,2187
48,1887,2187
48,1876,2187
48,1854,2187
48,1851,2187
48,1837,2187
46,1834,2187
45,1835,2187
44,1827,2187
44,1832,2187
42,1832,2187
42,1820,2187
42,1820,2187
42,1818,2187
42,1822,2187
42,1820,2187
41,1821,2187
47,1823,2187
46,1819,2187
49,1809,2187
53,1805,2187
52,1787,2187
56,1783,2187
59,1770,2187
61,1764,2187
60,1747,2187
66,1745,2187
68,1733,2187
75,1723,2187
74,1715,2187
73,1707,2187
75,1696,2187
79,1685,2187
80,1678,2187
83,1668,2187
82,1661,2187
83,1643,2187
85,1628,2187
90,1607,2187
92,1593,2187
91,1588,2187
93,1567,2187
94,1565,2187
93,1550,2187
91,1540,2187
90,1523,2187
91,1513,2187
95,1516,2187
97,1510,2187
95,1499,2187
93,1490,2187
90,1473,2187
90,1466,2187
94,1474,2187
95,1466,2187
93,1474,2187
92,1477,2187
95,1470,2187
99,1472,2187
100,1455,2187
99,1459,2187
98,1435,2187
102,1445,2187
100,1438,2187
98,1445,2187
94,1443,2187
93,1438,2187
93,1431,2187
94,1432,2187
92,1429,2187
90,1443,2187
91,1442,2187
90,1436,2187
89,1438,2187
86,1427,2187
88,1421,2187
85,1413,2187
85,1415,2187
84,1410,2187
82,1418,2187
84,1419,2187
83,1419,2187
83,1422,2187
82,1424,2187
82,1434,2187
77,1437,2187
76,1454,2187
79,1465,2187
77,1473,2187
76,1484,2187
79,1488,2187
80,1491,2187
80,1492,2187
84,1485,2187
85,1473,2187
86,1474,2187
85,1474,2187
88,1460,2187
86,1455,2187
85,1455,2187
88,1457,2187
93,1448,2187
96,1432,2187
96,1427,2187
97,1413,2187
99,1404,2187
101,1398,2187
104,1384,2187
104,1382,2187
106,1370,2187
108,1365,2187
109,1357,2187
110,1357,2187
111,1357,2187
111,1339,2187
108,1342,2187
111,1336,2187
113,1330,2187
110,1332,2187
106,1336,2187
110,1318,2187
109,1313,2187
109,1315,2187
105,1318,2187
100,1320,2187
100,1338,2187
100,1351,2187
103,1339,2187
102,1347,2187
105,1352,2187
104,1365,2187
105,1364,2187
102,1373,2187
96,1383,2187
96,1396,2187
97,1396,2187
97,1390,2187
98,1390,2187
97,1398,2187
98,1397,2187
99,1388,2187
97,1390,2187
100,1392,2187
96,1393,2187
99,1406,2187
93,1404,2187
98,1412,2187
95,1419,2187
96,1425,2187
89,1422,2187
86,1414,2187
87,1414,2187
94,1431,2187
93,1417,2187
91,1417,2187
92,1406,2187
95,1409,2187
100,1394,2187
101,1409,2187
99,1405,2187
100,1399,2187
97,1393,2187
94,1393,2187
95,1385,2187
94,1388,2187
93,1390,2187
90,1396,2187
90,1399,2187
92,1395,2187
94,1390,2187
98,1380,2187
101,1380,2187
103,1373,2187
103,1366,2187
100,1367,2187
98,1388,2187
100,1380,2187
102,1382,2187
100,1384,2187
100,1392,2187
97,1395,2187
93,1399,2187
94,1416,2187
94,1413,2187
93,1410,2187
87,1425,2187
90,1417,2187
91,1419,2187
93,1417,2187
93,1418,2187
95,1424,2187
96,1427,2187
93,1431,2187
94,1428,2187
92,1427,2187
87,1429,2187
86,1428,2187
85,1436,2187
88,1441,2187
91,1431,2187
90,1420,2187
89,1427,2187
89,1423,2187
90,1424,2187
92,1418,2187
96,1407,2187
95,1405,2187
97,1390,2187
97,1378,2187
100,1367,2187
102,1362,2187
103,1350,2187
104,1349,2187
107,1336,2187
105,1332,2187
101,1344,2187
97,1344,2187
96,1357,2187
96,1367,2187
96,1371,2187
95,1378,2187
98,1364,2187
99,1360,2187
95,1365,2187
96,1368,2187
95,1354,2187
94,1347,2187
93,1359,2187
92,1370,2187
93,1380,2187
91,1385,2187
95,1388,2187
93,1389,2187
93,1400,2187
88,1410,2187
87,1422,2187
86,1430,2187
84,1441,2187
86,1439,2187
88,1441,2187
86,1439,2187
85,1452,2187
85,1459,2187
86,1462,2187
88,1458,2187
92,1453,2187
89,1441,2187
90,1433,2187
91,1430,2187
89,1425,2187
88,1434,2187
89,1438,2187
86,1436,2187
91,1427,2187
93,1419,2187
95,1414,2187
99,1411,2187
103,1405,2187
101,1400,2187
98,1413,2187
98,1409,2187
97,1413,2187
95,1419,2187
90,1426,2187
90,1445,2187
94,1447,2187
94,1452,2187
95,1460,2187
93,1453,2187
91,1447,2187
90,1468,2187
88,1462,2187
85,1457,2187
88,1465,2187
89,1441,2187
94,1434,2187
95,1434,2187
93,1433,2187
92,1432,2187
90,1437,2187
91,1438,2187
92,1446,2187
91,1465,2187
86,1463,2187
88,1460,2187
90,1458,2187
91,1451,2187
90,1445,2187
92,1439,2187
92,1434,2187
94,1446,2187
92,1456,2187
87,1461,2187
85,1457,2187
85,1453,2187
89,1435,2187
94,1425,2187
91,1425,2187
88,1412,2187
90,1410,2187
90,1404,2187
88,1397,2187
88,1393,2187
91,1384,2187
91,1376,2187
93,1368,2187
95,1377,2187
94,1378,2187
92,1384,2187
91,1400,2187
91,1403,2187
93,1414,2187
88,1410,2187
91,1419,2187
93,1422,2187
95,1415,2187
97,1405,2187
98,1407,2187
97,1411,2187
101,1414,2187
98,1409,2187
95,1415,2187
98,1426,2187
102,1421,2187
99,1414,2187
96,1415,2187
93,1421,2187
93,1424,2187
94,1420,2187
92,1417,2187
92,1420,2187
95,1422,2187
96,1415,2187
96,1412,2187
97,1393,2187
97,1381,2187
99,1401,2187
100,1402,2187
101,1399,2187
100,1401,2187
100,1400,2187
100,1404,2187
98,1400,2187
95,1394,2187
94,1396,2187
94,1403,2187
92,1414,2187
88,1425,2187
90,1423,2187
92,1427,2187
94,1424,2187
93,1410,2187
92,1413,2187
91,1413,2187
91,1414,2187
92,1415,2187
94,1425,2187
94,1431,2187
94,1429,2187
96,1425,2187
97,1420,2187
98,1402,2187
105,1400,2187
106,1405,2187
103,1393,2187
104,1390,2187
100,1389,2187
97,1395,2187
98,1389,2187
97,1389,2187
91,1373,2187
92,1374,2187
95,1371,2187
99,1359,2187
100,1355,2187
99,1354,2187
100,1343,2187
102,1337,2187
99,1336,2187
98,1349,2187
98,1362,2187
97,1375,2187
97,1372,2187
95,1374,2187
94,1383,2187
87,1387,2187
83,1386,2187
82,1395,2187
84,1406,2187
87,1406,2187
88,1424,2187
92,1416,2187
94,1404,2187
93,1401,2187
92,1407,2187
97,1407,2187
98,1402,2187
98,1399,2187
99,1397,2187
97,1401,2187
99,1395,2187
102,1387,2187
105,1389,2187
109,1372,2187
109,1381,2187
106,1385,2187
108,1381,2187
105,1383,2187
104,1385,2187
102,1382,2187
102,1371,2187
103,1368,2187
103,1361,2187
107,1363,2187
102,1382,2187
104,1380,2187
103,1369,2187
105,1354,2187
107,1369,2187
107,1347,2187
108,1351,2187
112,1353,2187
110,1338,2187
107,1339,2187
104,1338,2187
108,1330,2187
107,1319,2187
104,1329,2187
